srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q10a,Q10b,Q10c,Q10d,sDevType,sOSName,age_gender
1852,4,11,3,2,2,2,2,1,2,1,3,1,4,1,2,2,1,6,3
1944,4,16,1,3,2,3,2,2,2,2,3,2,2,4,4,2,2,6,8
1500,4,13,1,3,2,2,2,1,1,2,1,1,1,2,2,1,0,12,7
1323,4,16,1,4,2,3,2,1,2,3,3,1,2,4,4,4,0,12,7
608,2,18,3,4,4,4,3,1,1,3,1,1,5,5,5,2,0,12,7
1886,4,-99,3,3,2,5,2,1,1,1,2,2,4,4,4,1,0,12,5
147,4,16,4,5,5,3,5,1,1,1,1,1,2,1,4,1,0,12,8
1850,4,36,1,2,2,3,3,1,1,1,1,1,4,4,4,2,0,12,8
1493,4,6,96,3,2,2,3,2,1,2,2,2,1,1,2,2,0,8,7
708,4,20,3,2,2,2,2,3,3,2,3,2,4,4,4,4,1,1,7
1501,4,6,4,4,4,3,3,3,2,1,1,1,4,4,4,4,2,1,8
936,4,11,3,4,2,4,3,2,2,3,3,2,2,2,2,2,0,12,7
266,2,13,1,4,4,4,4,1,1,1,1,1,2,2,2,2,0,12,5
2036,5,96,11,2,1,1,1,1,1,1,1,1,4,4,5,2,0,12,4
988,2,96,4,2,2,3,3,2,2,1,3,3,2,5,5,4,1,6,8
159,2,1,1,3,3,2,2,1,1,2,1,1,2,4,2,1,0,12,3
519,2,12,1,4,4,4,3,3,2,3,3,2,4,4,4,2,1,6,3
636,2,20,4,4,2,3,2,4,3,2,3,1,2,4,4,4,0,12,7
1475,4,1,-98,1,1,1,1,1,1,1,1,1,5,5,5,5,1,6,6
2016,2,-98,1,3,3,3,3,2,1,1,2,1,2,4,4,1,1,6,6
2152,1,37,11,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,6
602,2,11,1,4,2,3,4,1,1,2,2,2,2,2,4,2,2,6,5
1125,1,96,3,1,3,2,3,1,2,2,1,1,5,4,4,5,-1,-1,5
1028,4,20,3,3,2,3,3,4,2,4,4,2,4,4,5,4,-1,-1,8
35,4,11,4,2,1,2,2,2,2,2,3,1,4,4,4,5,1,6,2
987,2,16,1,3,5,3,4,2,2,2,2,2,4,4,4,2,0,12,8
2232,4,1,1,4,4,3,4,2,2,2,1,2,2,4,4,4,-1,-1,8
561,2,13,1,4,4,4,4,3,3,4,2,3,2,5,2,2,-1,-1,5
1924,5,16,96,5,4,2,2,2,1,2,2,1,4,4,4,5,-1,-1,8
1796,2,16,4,5,2,2,2,2,2,2,3,2,4,4,4,2,0,12,7
734,4,16,4,2,2,2,2,2,2,2,2,2,4,4,4,4,1,6,6
336,2,16,1,5,5,2,3,1,1,2,2,2,2,4,4,4,0,12,3
566,4,-99,3,4,4,2,1,1,1,3,1,1,1,1,1,1,0,12,6
1340,4,13,4,1,2,2,2,1,1,2,2,1,2,2,2,2,0,12,6
1130,5,11,96,5,5,2,2,2,2,3,4,3,5,4,4,5,-1,-1,3
1053,4,13,1,5,5,3,2,2,1,1,2,1,4,2,4,1,-1,-1,8
596,2,16,1,3,5,4,3,2,1,1,2,2,2,4,2,2,1,1,7
700,2,1,1,4,2,2,3,3,3,3,2,3,2,4,2,2,0,12,6
1473,5,11,4,3,1,3,1,3,1,1,3,3,2,4,4,1,0,12,4
569,2,19,1,4,2,4,3,2,2,2,2,2,4,2,4,4,0,12,7
665,2,7,96,2,1,1,1,1,1,1,1,1,1,2,2,1,0,8,5
1775,4,36,1,3,3,2,3,2,2,2,2,2,2,2,4,4,2,6,6
1794,4,4,3,3,4,2,2,3,2,2,2,2,2,5,2,2,1,6,6
1088,4,16,3,4,-98,3,-98,1,1,1,1,1,4,5,5,1,0,12,8
1406,1,1,3,5,5,1,1,1,1,1,2,1,4,4,5,2,1,6,4
1127,5,1,1,5,5,4,4,3,2,3,2,1,5,4,5,5,-1,-1,7
1363,4,11,3,-98,1,-98,2,-98,1,1,2,2,5,5,5,-98,-1,-1,7
474,4,13,11,2,1,2,1,2,2,1,1,2,2,5,5,2,0,12,7
30,2,30,4,2,2,1,2,2,2,2,2,1,4,4,4,1,-1,-1,6
1593,2,5,2,3,4,4,4,1,2,2,2,2,1,2,2,2,1,6,6
148,4,11,3,1,1,1,1,1,1,1,2,1,2,4,5,1,1,6,8
1511,2,1,3,5,5,4,4,1,1,2,1,2,2,2,5,1,-1,-1,7
818,4,4,97,4,3,2,4,1,1,1,1,1,2,4,2,2,0,12,6
2259,4,5,1,3,3,3,3,2,3,3,3,2,4,4,4,4,2,1,8
1317,2,1,1,4,4,3,3,1,1,1,1,1,1,2,4,2,0,12,7
207,4,13,-98,1,1,1,1,1,1,1,1,1,1,2,1,1,2,6,3
1066,1,1,96,3,5,3,4,1,1,1,1,1,5,5,5,1,-1,-1,6
1518,2,13,1,3,4,4,4,2,2,2,2,2,4,4,4,5,-1,-1,8
1828,4,16,-99,3,1,1,1,1,1,1,1,1,5,5,5,1,2,6,4
1176,4,36,4,4,2,4,3,2,2,4,4,1,5,5,4,4,0,12,3
405,2,11,3,2,2,3,2,2,2,4,4,3,4,4,4,2,1,1,1
2177,4,16,3,4,4,5,4,2,2,2,2,2,2,2,2,2,1,6,6
1135,1,17,1,5,5,5,5,1,1,1,1,1,5,5,5,5,-1,-1,7
309,5,11,4,2,2,2,2,1,2,1,3,1,4,1,2,4,0,12,8
216,2,1,3,4,5,4,3,4,4,4,4,4,1,2,2,1,0,12,6
288,4,12,3,2,1,2,2,1,2,2,1,2,4,4,4,4,-1,-1,6
1815,2,96,3,5,5,2,2,3,3,3,2,2,2,4,4,4,2,6,7
1539,4,36,1,5,5,5,5,1,1,1,1,1,2,5,4,1,0,12,8
960,4,13,95,2,2,1,1,1,1,1,1,1,1,4,2,1,2,6,6
1032,2,1,3,2,-98,4,1,2,4,2,4,2,4,5,4,5,-1,-1,7
884,2,13,-98,2,2,2,3,1,1,1,1,1,4,4,4,1,0,12,6
1278,3,16,24,2,2,4,2,1,1,3,4,3,2,2,2,4,0,12,3
2436,1,-98,3,3,3,2,3,1,1,1,1,3,2,4,4,4,1,6,4
1602,4,36,2,2,2,2,2,2,2,3,2,2,4,5,4,4,2,6,7
59,5,11,3,2,2,2,2,3,2,2,3,1,4,5,4,2,2,1,8
1047,2,13,1,5,5,2,1,1,1,1,1,1,4,5,5,-99,-1,-1,8
1780,4,19,-98,1,1,1,2,1,1,1,1,1,2,2,2,1,0,12,4
1264,4,13,3,1,1,2,2,1,1,1,1,1,4,5,4,1,1,1,6
1547,2,20,3,3,3,3,4,2,3,2,2,2,2,2,2,4,0,12,7
1829,4,20,3,3,2,2,2,2,1,2,2,1,2,4,4,1,0,12,8
1679,2,13,1,-98,2,4,2,3,1,2,4,2,5,4,4,5,-1,-1,8
1509,5,20,2,3,4,4,3,3,1,3,3,3,5,5,4,4,2,6,7
1046,5,20,-98,4,4,3,2,1,1,1,1,1,1,2,2,2,-1,-1,4
2125,2,11,1,4,3,2,4,2,2,3,4,3,2,4,4,4,0,12,6
1059,2,-98,3,4,4,4,4,3,3,3,3,3,5,5,5,5,-1,-1,5
502,4,20,1,5,5,4,4,2,1,2,3,2,5,5,5,5,-1,-1,8
1307,2,13,1,4,2,2,2,1,1,2,1,1,1,1,1,2,2,6,4
647,4,19,1,3,3,2,2,3,2,4,4,3,4,4,4,4,0,8,8
1328,4,16,1,1,1,1,1,1,1,1,1,1,2,5,4,1,0,12,7
505,2,26,1,4,3,3,4,1,1,4,3,3,2,2,4,1,-1,-1,8
2337,2,4,3,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1
1325,2,11,3,3,2,3,3,2,2,3,3,2,2,4,4,4,0,12,3
1585,2,16,1,5,4,4,2,2,2,1,3,2,2,2,2,1,2,6,8
1049,4,13,3,4,4,2,3,3,2,1,2,1,4,4,2,2,-1,-1,6
1867,4,11,3,2,1,1,3,3,2,3,4,2,1,4,4,2,1,6,3
25,1,1,1,5,3,5,5,4,3,3,4,3,4,5,4,4,-1,-1,6
5,2,1,1,4,4,4,4,2,2,2,2,2,4,4,4,5,-1,-1,8
191,4,16,4,1,1,1,1,2,3,2,3,2,4,5,4,2,1,1,1
362,4,16,-98,2,2,3,2,2,2,2,2,2,2,2,4,2,1,6,4
294,4,5,-98,4,5,5,5,1,1,1,1,1,2,1,2,1,0,12,6
2535,1,20,1,1,1,3,5,2,1,1,1,1,2,4,5,4,2,1,6
1692,2,1,3,3,2,3,2,2,2,2,2,2,4,4,4,2,1,1,4
1051,4,16,1,5,5,2,1,2,1,3,2,1,5,5,5,4,-1,-1,8
23,4,16,-98,2,2,2,1,1,1,1,1,1,4,2,5,1,-1,-1,6
1614,4,11,3,4,2,4,4,2,1,2,3,2,1,2,2,4,0,8,7
752,1,-98,1,3,3,4,4,2,1,3,1,1,4,5,4,1,0,8,6
1816,5,29,15,4,1,2,3,1,2,1,1,1,2,4,4,4,1,6,5
1011,2,11,3,5,2,3,5,2,2,1,2,1,2,4,2,4,-1,-1,8
1188,4,20,4,4,4,2,4,2,2,2,3,2,2,2,2,2,1,1,6
2045,2,4,1,2,2,4,2,2,2,3,2,2,2,4,4,2,1,6,3
1005,4,11,3,2,2,3,2,2,2,2,2,2,4,4,4,1,2,6,8
1661,2,20,1,2,2,2,2,1,4,1,2,1,4,4,4,4,-1,-1,8
1438,2,37,3,3,3,3,3,3,3,3,4,3,4,4,4,4,1,1,8
875,4,13,-98,2,2,1,1,2,1,1,1,1,2,2,4,1,0,8,7
1301,4,1,5,2,2,3,1,2,3,3,3,2,2,4,2,2,0,12,3
1881,2,16,3,3,3,4,3,3,3,4,3,3,1,2,2,2,0,12,5
372,4,13,1,4,3,4,4,2,4,2,3,1,1,2,2,1,0,12,7
1637,1,29,1,2,1,2,5,1,1,1,1,1,1,1,1,1,1,6,8
666,2,11,1,2,2,3,3,3,3,3,3,3,2,4,2,2,1,6,8
15,4,20,5,-98,1,1,1,1,2,1,2,1,4,4,4,5,-1,-1,8
501,4,27,3,5,3,3,3,3,3,1,4,4,2,5,1,2,-1,-1,6
592,2,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,0,12,8
2236,4,-98,3,3,3,3,3,2,2,2,2,2,4,4,2,2,1,6,6
1603,2,17,1,2,2,2,2,1,1,1,1,1,4,4,4,1,2,6,6
2386,2,-99,-98,2,2,4,2,2,2,3,3,1,2,4,4,4,0,8,8
1298,2,20,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,6,8
1494,4,16,-98,1,1,1,1,1,1,2,1,1,2,2,2,1,0,12,6
27,2,17,-98,4,2,3,3,3,2,1,2,2,4,4,4,4,-1,-1,7
1356,2,1,3,2,2,5,5,1,2,3,3,2,5,5,4,4,0,12,6
904,4,16,1,4,4,4,4,1,1,2,2,1,2,4,2,4,0,12,7
1622,4,11,-98,2,2,2,2,2,2,2,2,2,4,4,2,2,0,12,6
1734,4,36,-99,4,4,1,1,4,1,4,4,2,2,2,2,5,-1,-1,7
388,4,13,3,3,3,3,3,1,1,1,1,1,4,4,4,2,2,6,8
937,4,1,3,2,3,3,3,2,2,2,2,2,4,4,4,2,0,12,8
152,2,1,4,2,2,1,1,2,2,1,2,1,2,1,4,2,0,12,5
1698,4,17,-98,3,3,3,3,1,1,1,1,1,4,4,4,2,0,12,4
126,4,16,5,2,1,2,1,2,1,2,1,1,4,4,4,1,0,12,7
357,2,16,-98,5,1,3,1,1,1,1,1,1,4,4,4,1,0,8,2
693,4,1,-98,3,1,1,1,2,1,1,1,1,1,4,4,1,2,6,6
1931,2,34,4,2,1,3,2,1,1,1,2,1,4,4,2,1,0,12,5
416,2,-98,-98,3,3,4,4,3,3,4,3,3,1,4,2,4,1,1,5
467,4,16,5,2,2,2,2,1,1,1,1,1,2,4,2,1,2,6,7
365,4,19,1,3,2,2,5,2,2,2,2,1,4,4,4,2,1,6,5
1917,4,-98,1,4,4,2,2,1,1,1,1,1,1,2,2,2,2,6,8
68,4,36,96,5,2,1,2,2,2,1,2,1,1,4,5,4,-1,-1,8
579,2,16,3,2,2,2,2,2,2,3,2,2,4,4,4,2,2,6,8
1962,5,11,4,2,2,3,2,1,1,1,1,1,1,4,2,1,0,8,5
1618,4,16,1,3,2,4,4,2,1,4,3,2,4,4,4,1,1,6,7
134,2,11,3,5,4,3,5,2,1,2,2,1,2,4,4,2,0,12,3
247,2,17,1,5,5,4,4,1,1,2,1,1,5,5,5,1,2,6,8
812,2,36,1,4,4,3,3,1,1,1,2,2,4,4,4,1,2,6,8
1159,4,16,4,3,4,3,1,3,3,3,4,2,2,4,4,4,0,8,4
2406,2,11,3,1,1,3,2,1,1,2,3,1,4,4,5,1,1,6,4
385,2,1,3,3,4,3,3,1,1,2,3,1,1,4,4,1,1,1,7
2440,2,11,1,3,3,3,3,3,3,3,3,3,2,2,2,2,1,6,1
206,2,11,3,1,2,2,3,1,1,2,2,2,5,4,2,4,1,6,4
1610,2,1,3,1,1,5,1,1,2,1,1,1,4,5,2,1,1,6,1
1940,5,19,3,3,3,2,2,2,3,2,4,1,4,4,4,5,-1,-1,8
1925,2,1,3,3,3,4,2,3,1,3,2,2,2,4,2,4,0,12,7
1217,4,4,3,2,2,2,2,2,2,2,1,1,2,2,2,4,0,12,5
1286,5,13,11,1,1,1,1,1,1,1,1,1,5,5,5,1,0,12,7
2284,2,1,3,4,2,4,4,2,2,4,2,2,4,4,4,4,-1,-1,8
1142,2,17,97,4,2,3,3,3,2,3,3,2,2,4,5,5,0,12,7
2482,2,1,1,4,2,3,2,3,3,3,3,3,2,4,2,4,0,12,4
1523,2,11,6,3,2,4,3,3,3,4,4,3,4,4,4,4,0,8,4
771,4,-98,-98,3,4,4,4,2,2,2,2,2,2,4,4,2,1,1,6
1627,4,20,4,4,2,2,2,1,2,1,3,1,2,2,4,2,0,12,6
17,2,20,1,2,2,3,2,2,2,2,3,2,5,5,5,5,-1,-1,5
1987,4,19,-98,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,6
1212,4,29,1,5,5,4,5,1,1,2,2,1,1,4,1,1,0,12,7
858,4,13,1,4,4,4,3,3,3,3,2,2,2,2,2,4,1,6,7
436,4,16,11,1,1,1,1,2,2,2,2,2,2,2,2,1,1,6,5
933,2,34,11,4,3,4,4,4,3,4,4,3,5,5,5,1,0,12,7
1348,4,1,1,3,4,3,3,3,2,4,3,3,2,4,5,2,2,6,8
838,2,11,4,2,3,4,3,3,1,4,2,1,2,4,5,4,0,8,8
1270,4,1,1,4,3,4,3,1,2,1,1,1,2,4,4,2,0,12,6
1334,4,32,95,4,2,2,3,2,2,2,3,1,4,4,4,2,0,12,7
1267,-98,-98,6,4,2,4,4,3,2,4,-98,-98,4,5,5,4,0,12,8
1964,2,19,1,2,4,2,5,1,1,1,1,1,4,4,4,2,0,8,7
2012,1,29,-99,3,2,3,3,1,4,3,2,2,4,4,4,4,2,6,8
972,4,16,3,5,4,3,2,2,2,2,2,2,2,2,2,2,2,6,6
722,2,-99,1,4,3,3,4,2,2,2,2,3,2,4,4,4,1,6,4
2109,2,19,-98,4,2,2,2,2,2,2,3,2,2,4,4,2,1,6,8
414,2,1,3,3,2,3,3,2,2,2,2,3,4,4,4,2,2,6,1
480,2,1,5,4,3,3,5,1,2,2,2,2,2,2,2,2,1,6,3
2369,2,16,3,3,2,3,3,2,2,1,2,2,4,4,4,2,-1,-1,3
1395,2,16,3,4,4,3,2,3,2,4,3,3,2,4,2,2,2,6,4
1396,1,36,16,3,1,4,3,3,2,1,1,3,4,3,5,1,-1,-1,8
622,1,11,4,3,3,5,4,1,3,1,3,1,2,4,4,2,2,6,6
2280,4,16,3,1,1,1,1,1,1,1,1,1,4,4,4,2,2,6,8
412,4,-98,1,5,3,3,5,1,1,1,2,1,5,5,5,2,2,6,6
677,2,13,1,4,5,3,3,1,1,2,2,1,4,4,4,2,0,12,5
1586,2,20,1,2,3,4,4,2,1,4,3,4,4,4,2,4,1,6,4
1077,2,6,3,3,3,2,1,1,2,1,2,-98,2,4,2,5,-1,-1,8
603,2,13,-98,-98,-98,3,3,2,2,-98,2,2,2,2,3,4,0,8,8
1562,4,6,10,2,2,3,4,2,2,2,2,2,2,4,2,1,0,8,7
533,2,13,1,5,1,4,4,1,1,1,1,1,4,4,4,5,-1,-1,6
1675,2,11,3,5,5,4,5,4,4,3,4,2,5,5,4,2,1,6,2
220,4,16,3,2,3,4,2,1,1,2,2,2,4,4,4,2,0,8,7
282,2,16,1,3,2,3,2,2,3,3,4,3,2,4,2,2,0,12,4
240,4,13,1,3,3,3,4,4,4,4,4,4,5,5,5,5,2,6,5
1394,2,33,1,3,3,4,3,2,2,3,1,2,2,4,5,2,0,12,8
1071,4,11,3,5,4,4,4,2,1,3,4,1,4,5,2,1,-1,-1,4
19,2,16,1,2,2,3,2,1,2,2,1,1,2,2,5,1,-1,-1,8
1482,2,11,3,3,3,4,3,4,4,4,4,4,5,4,4,4,1,1,5
829,2,1,2,4,3,3,3,1,1,1,1,1,2,4,4,4,0,8,6
355,5,13,96,5,5,5,5,1,1,1,1,1,4,4,2,1,0,12,5
1073,4,17,5,1,1,1,1,1,1,1,3,2,5,5,5,1,-1,-1,5
1111,4,35,6,4,2,3,5,2,1,2,3,2,2,5,5,1,2,6,8
2293,4,16,3,2,2,2,1,1,1,1,1,1,2,5,5,2,2,6,6
244,2,6,-98,3,4,4,4,3,3,3,3,3,2,2,2,2,0,12,3
928,4,29,6,2,2,2,3,2,2,3,2,2,4,4,4,4,0,12,6
691,4,11,3,2,1,2,2,1,1,1,1,1,2,2,4,1,2,6,8
162,2,4,3,2,2,4,4,2,1,1,2,1,4,4,4,2,0,11,8
2316,1,1,6,3,5,3,4,3,2,3,3,3,4,1,4,2,2,6,5
751,2,31,2,3,3,3,3,3,3,2,2,2,4,4,4,2,0,12,4
20,4,16,4,3,3,4,1,1,1,1,2,2,5,4,5,1,-1,-1,8
1672,2,6,6,4,-98,4,4,2,3,4,4,2,5,5,5,1,-1,-1,7
393,4,16,11,5,1,4,3,1,1,3,2,1,5,5,5,1,0,12,3
1383,4,16,1,4,3,4,3,1,1,1,2,1,2,1,2,1,1,6,8
43,2,37,3,1,1,3,2,2,2,2,3,1,2,4,2,2,1,6,2
902,4,13,6,1,1,1,1,1,1,1,1,1,2,1,1,1,0,12,3
60,4,13,16,2,3,2,2,1,1,2,1,1,2,2,2,1,1,1,6
806,5,20,5,3,2,3,5,3,3,3,3,4,5,5,5,5,0,12,6
1536,2,34,6,4,4,4,4,2,2,2,2,2,1,1,4,1,0,12,8
1078,1,19,1,4,5,4,5,3,1,3,3,2,4,4,4,4,-1,-1,8
1932,4,13,11,2,2,3,3,2,2,3,3,3,4,4,4,2,1,6,6
1892,2,16,4,2,2,2,1,2,2,2,2,1,4,2,4,2,0,12,5
698,4,16,3,4,4,4,4,2,3,3,2,3,1,4,1,2,0,12,1
38,5,13,3,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,5
852,1,16,3,5,1,2,1,1,1,1,1,1,5,5,5,5,0,12,7
670,2,-98,6,2,2,2,2,2,2,2,2,3,4,2,2,2,1,1,3
897,5,16,3,1,1,1,1,1,1,1,2,1,4,4,4,2,0,12,7
2558,2,30,6,3,2,3,3,3,2,2,3,2,2,2,4,2,2,6,8
1426,2,36,3,3,5,2,5,2,1,2,2,2,1,2,2,2,0,12,8
1285,4,16,96,2,2,3,2,3,2,3,2,2,2,2,4,4,0,12,6
1443,2,28,-99,3,3,3,3,3,3,3,3,2,2,5,4,4,0,12,6
1628,5,4,11,1,3,3,1,2,1,2,3,3,2,2,2,2,0,12,3
1374,2,1,3,1,1,2,2,1,2,1,3,1,2,4,4,2,0,8,5
507,1,11,3,2,1,1,1,1,1,1,1,1,5,5,5,2,0,12,8
958,4,11,4,4,2,2,2,2,1,3,4,3,1,2,4,2,0,12,8
1044,2,1,-99,4,2,2,2,1,1,1,1,1,1,5,2,1,0,12,8
1181,2,-98,3,5,3,4,3,2,2,2,3,2,2,2,2,2,0,12,8
338,4,19,3,2,2,2,3,3,2,3,3,1,2,2,2,2,0,8,5
1442,2,1,1,5,4,2,3,2,1,1,2,2,4,4,2,2,2,6,5
2532,2,1,1,1,1,1,2,1,3,1,2,1,4,4,4,5,-1,-1,7
826,4,11,4,3,1,1,5,2,2,1,3,2,2,4,4,4,0,12,5
687,2,13,1,3,2,3,2,1,1,2,2,2,5,5,4,2,0,12,6
125,2,20,1,4,4,4,4,3,4,4,4,4,2,2,1,4,1,6,7
1963,4,1,6,3,1,2,2,2,1,2,2,1,2,2,2,2,0,12,7
2265,2,35,1,3,3,4,3,4,4,4,4,4,5,5,5,5,2,6,7
1960,2,16,6,2,1,3,3,1,1,2,1,1,4,4,4,2,0,12,8
1349,4,11,3,1,1,2,4,3,1,2,1,1,1,4,2,1,0,8,8
1435,2,1,3,5,5,4,4,2,2,2,2,2,2,2,2,4,0,8,5
2499,2,16,6,1,1,1,1,1,1,1,1,1,1,1,4,1,0,8,7
1400,2,11,3,1,1,1,1,1,2,1,1,1,2,2,4,1,1,1,7
1036,2,36,3,2,2,1,1,2,3,2,2,1,2,2,4,2,1,1,6
2222,4,13,3,2,2,3,3,1,1,1,2,2,4,4,4,2,0,12,6
995,2,16,3,3,3,3,2,3,2,3,3,2,4,4,4,4,1,6,7
1673,4,16,4,3,3,4,4,2,1,4,2,2,2,2,2,2,0,12,8
1711,2,5,-98,3,3,3,3,3,2,3,3,2,4,5,4,2,2,6,8
238,4,16,3,3,2,2,1,2,1,1,2,2,4,4,5,2,0,12,8
1583,2,33,3,5,3,2,2,1,1,2,1,1,2,2,2,1,0,8,3
345,2,16,3,3,3,4,3,3,2,2,3,2,2,4,4,4,0,12,7
2574,2,16,4,3,2,3,3,2,1,3,2,2,2,4,4,2,2,6,8
232,2,1,3,5,5,3,4,2,1,1,2,2,2,2,4,2,0,12,6
419,2,-99,1,2,3,2,3,1,2,2,2,2,4,5,4,2,0,12,8
760,4,11,4,1,1,2,2,1,1,1,2,1,2,4,5,1,1,1,8
1369,2,2,3,2,1,3,3,3,3,4,3,3,1,4,2,4,1,6,3
630,4,11,5,3,4,4,2,3,3,2,2,2,4,4,4,2,1,1,3
765,1,29,1,3,3,3,3,2,2,2,2,2,2,2,2,4,2,6,5
1020,2,8,3,2,1,2,2,1,1,1,1,1,4,5,5,1,0,12,8
50,2,1,4,4,4,3,4,2,2,2,2,2,2,4,4,2,1,1,4
1197,4,16,1,3,4,3,3,2,1,2,2,3,2,2,2,2,2,6,7
22,2,1,3,4,4,3,3,2,2,3,4,3,4,4,4,2,-1,-1,6
983,4,1,11,2,1,1,2,1,2,2,4,1,2,2,2,2,0,12,5
1022,4,1,3,4,2,2,2,2,3,3,3,1,2,4,4,5,-1,-1,8
866,1,-98,3,3,3,3,3,2,2,2,2,2,1,4,4,2,0,12,8
642,4,19,1,3,4,2,1,2,2,2,2,1,2,4,4,1,1,6,8
461,4,13,5,3,3,3,3,3,3,3,2,1,2,4,2,2,2,6,3
13,2,11,3,1,1,1,1,1,1,1,1,1,2,4,4,5,-1,-1,7
1050,2,1,16,2,1,4,4,2,2,3,4,1,4,4,4,-99,-1,-1,8
924,2,16,3,2,2,3,3,1,3,3,2,1,4,4,4,2,1,6,4
997,2,1,1,3,3,3,3,1,1,2,1,1,5,5,4,2,2,1,8
1365,4,11,4,3,2,3,2,2,1,2,3,2,1,4,2,4,0,12,8
746,2,11,24,4,4,4,3,3,3,3,3,3,2,2,4,2,0,12,7
1,2,2,1,2,2,3,3,2,3,-98,1,2,4,4,5,-98,-1,-1,8
681,2,16,-98,3,2,2,2,2,1,2,2,1,2,4,4,2,2,6,8
1222,2,5,3,-98,-98,-98,-98,3,3,2,-98,2,2,-98,-98,1,0,12,8
628,4,20,97,4,4,3,1,1,1,1,2,2,4,4,4,2,0,12,5
1440,2,1,-99,3,2,3,3,2,2,2,2,2,4,4,4,4,0,8,4
45,2,16,1,4,2,4,3,3,2,2,3,2,2,5,2,2,1,6,6
168,2,28,1,4,3,3,3,4,2,3,3,3,5,5,5,5,0,12,8
748,2,11,5,2,2,3,1,1,1,1,1,1,4,4,4,1,0,12,7
1358,1,1,95,5,4,4,4,3,2,3,2,1,1,1,2,2,-1,-1,8
439,2,18,3,3,3,4,3,3,3,3,3,3,4,4,4,4,1,6,1
1096,2,1,4,5,4,4,4,3,4,3,3,3,4,4,4,4,-1,-1,6
2121,2,16,1,3,2,4,4,3,3,3,3,2,2,4,2,4,0,8,6
46,4,5,97,2,3,1,1,2,2,2,2,1,4,5,4,5,-1,-1,8
524,2,13,1,4,5,4,4,3,3,4,3,3,5,5,5,5,0,12,7
1693,4,6,1,1,1,2,2,1,1,1,2,2,2,4,4,4,0,12,6
155,2,1,97,3,3,3,3,2,2,2,2,2,4,4,4,2,0,12,7
1393,2,33,1,2,1,2,3,1,1,1,3,3,2,1,2,2,0,12,8
2270,4,13,3,2,2,2,2,2,2,3,3,2,4,4,2,1,0,12,5
1262,2,11,96,3,2,3,3,2,1,3,4,3,1,1,2,2,0,12,8
223,2,8,1,3,4,4,4,3,2,2,3,3,2,4,2,2,1,6,4
754,4,16,4,2,1,2,1,2,1,2,3,2,1,4,4,1,2,1,7
2550,4,16,4,3,2,3,1,1,1,3,4,3,2,2,2,1,0,12,3
682,2,1,-98,4,5,3,3,1,1,2,2,2,4,5,5,2,2,6,8
1031,2,11,24,2,2,2,1,2,1,1,2,2,4,4,4,1,-1,-1,8
1030,2,34,1,3,3,4,4,3,3,4,3,2,4,2,2,4,-1,-1,7
680,2,11,1,4,4,3,4,3,2,3,3,3,4,4,5,2,2,6,7
1039,4,16,-98,5,4,1,1,1,1,1,1,1,4,4,4,5,-1,-1,8
925,2,96,1,3,3,3,3,2,3,2,2,3,5,5,5,1,0,12,7
2563,2,34,1,4,4,3,4,1,1,3,2,3,2,5,1,1,-1,-1,7
727,1,16,1,3,2,3,2,3,2,4,3,2,4,4,5,2,2,6,6
1617,2,19,8,5,5,5,5,2,3,4,2,2,5,5,5,5,0,12,5
1375,4,1,-98,2,2,2,3,3,3,4,3,3,2,4,4,4,0,12,6
111,4,11,5,2,2,2,1,1,1,2,3,3,2,2,2,4,0,12,3
330,2,16,1,2,2,4,2,2,1,2,1,1,4,4,4,2,2,6,8
903,2,11,4,4,4,4,4,3,3,4,3,2,5,4,5,2,0,12,4
711,2,16,1,4,3,4,3,2,2,2,2,3,4,4,4,2,0,12,8
1936,1,17,1,5,5,3,3,3,3,3,3,2,4,4,4,5,-1,-1,8
518,2,13,1,3,4,3,3,1,2,2,2,1,4,4,2,2,0,12,3
2321,4,14,1,4,4,3,3,2,2,3,3,2,1,2,2,2,0,12,8
741,2,1,3,2,2,1,2,1,1,1,2,1,1,1,2,1,0,12,5
2513,4,11,4,3,1,1,1,1,1,1,2,1,2,5,4,1,1,6,6
503,4,13,-98,1,1,1,1,1,1,1,1,1,1,4,1,1,2,6,8
1361,2,35,3,4,4,3,3,3,3,4,3,3,2,2,2,2,2,6,8
702,4,36,11,3,2,1,3,2,2,2,2,2,4,4,4,2,0,12,5
597,4,36,1,5,5,1,1,1,1,1,1,1,2,2,2,2,-1,-1,8
1412,2,16,1,5,4,3,3,1,1,2,2,1,2,4,4,4,-1,-1,8
1231,2,-98,1,3,2,3,3,3,2,3,3,3,5,5,5,1,0,12,8
1419,4,11,8,5,4,3,3,1,1,1,1,2,5,5,4,-98,-1,-1,8
1832,2,16,1,3,3,3,3,3,1,3,3,3,2,2,2,4,1,6,5
1359,2,16,1,5,1,2,3,3,2,3,3,1,2,5,4,1,0,12,8
1683,4,1,3,5,5,5,5,1,1,1,1,1,1,1,1,2,-1,-1,5
